year,vix_annual_mean,gdp_growth_world,recession,ecb_rate,eu_gdp_growth,eu_recession
2000,23.32,4.55506182477734,0,3.02,3.93357955857741,0
2001,25.75,2.03855309163346,1,3.29,2.16114364230499,0
2002,27.29,2.31107096730896,0,2.21,1.09769505370336,0
2003,21.98,3.09383471039327,0,1.26,0.936970953534527,0
2004,15.48,4.50184539653775,0,1.0,2.59990864973688,0
2005,12.81,4.05453629039749,0,1.02,1.98357902362464,0
2006,12.81,4.47616958858073,0,1.76,3.56754077134353,0
2007,17.54,4.41384473328112,0,2.84,3.14183566763455,0
2008,32.69,2.09239458384161,1,3.01,0.617986886948614,0
2009,31.48,-1.31864911944238,1,0.47,-4.31208831896211,0
2010,22.55,4.52424032554684,0,0.25,2.18180099957819,0
2011,24.2,3.33900335400304,0,0.5,1.96060087405085,1
2012,17.8,2.73120979279709,0,0.13,-0.764417073932009,1
2013,14.23,2.88814205849093,0,0.0,-0.0330405739034347,1
2014,14.18,3.13301748764181,0,-0.09,1.63272217207499,0
2015,16.67,3.11378907834427,0,-0.21,2.3719530456017,0
2016,15.83,2.7935920724707,0,-0.38,1.91998029828646,0
2017,11.09,3.45183009055702,0,-0.4,2.81811045546294,0
2018,16.64,3.27395826417857,0,-0.4,2.0464201274383,0
2019,15.39,2.67911757479926,0,-0.43,1.87524696216212,0
2020,29.25,-2.89922310337025,1,-0.5,-5.57888055659984,0
2021,19.66,6.4133496154197,0,-0.5,6.37775013900983,0
2022,25.64,3.40305483746891,0,0.08,3.56155233245134,0
2023,16.85,2.94859475004874,0,3.31,0.454322708045197,0
2024,15.55,2.87194964204316,0,3.73,1.06455789818651,0
